model_name	psq_distance	psq_distance_metric	psq_distance_sample_size	highdim_size	lowdim_size
models/schöch/090tp-6000it-2000in.tsv.gz	0.4448872808412302	cosine	1.0	90	90
models/schöch/090tp-6000it-3000in.tsv.gz	0.4536177462646407	cosine	1.0	90	90
models/schöch/090tp-6000it-7000in.tsv.gz	0.4518201985533122	cosine	1.0	90	90
models/schöch/100tp-6000it-0050in.tsv.gz	0.4322729809563666	cosine	1.0	100	100
models/schöch/100tp-6000it-0100in.tsv.gz	0.45664368518576054	cosine	1.0	100	100
models/schöch/100tp-6000it-0300in.tsv.gz	0.448337425662221	cosine	1.0	100	100
models/schöch/100tp-6000it-0500in.tsv.gz	0.44341036552955415	cosine	1.0	100	100
models/schöch/100tp-6000it-1000in.tsv.gz	0.4625824504411783	cosine	1.0	100	100
models/schöch/100tp-6000it-2000in.tsv.gz	0.4562399732498984	cosine	1.0	100	100
models/schöch/100tp-6000it-3000in.tsv.gz	0.46549357129790975	cosine	1.0	100	100
models/schöch/100tp-6000it-7000in.tsv.gz	0.46262123671954974	cosine	1.0	100	100
