run	model_name	SVM	KNN	TRE	SGD	average
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-0500in.tsv.gz	0.831	0.841	0.836	0.846	0.839
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-1000in.tsv.gz	0.847	0.836	0.818	0.841	0.836
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-2000in.tsv.gz	0.816	0.839	0.798	0.824	0.819
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-3000in.tsv.gz	0.847	0.836	0.762	0.849	0.823
01	models/schöch-agg/mean_shift_o_std/090tp-6000it-7000in.tsv.gz	0.852	0.834	0.770	0.839	0.823
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-0050in.tsv.gz	0.854	0.823	0.808	0.847	0.833
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-0100in.tsv.gz	0.806	0.831	0.811	0.811	0.815
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-0300in.tsv.gz	0.831	0.831	0.795	0.844	0.825
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-0500in.tsv.gz	0.831	0.836	0.803	0.816	0.822
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-1000in.tsv.gz	0.826	0.806	0.806	0.790	0.807
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-2000in.tsv.gz	0.841	0.829	0.806	0.813	0.822
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-3000in.tsv.gz	0.816	0.844	0.783	0.844	0.822
01	models/schöch-agg/mean_shift_o_std/100tp-6000it-7000in.tsv.gz	0.841	0.839	0.785	0.839	0.826
01	models/schöch-agg/mean_shifted/050tp-6000it-0050in.tsv.gz	0.862	0.836	0.808	0.857	0.841
01	models/schöch-agg/mean_shifted/050tp-6000it-0100in.tsv.gz	0.859	0.834	0.759	0.867	0.830
01	models/schöch-agg/mean_shifted/050tp-6000it-0300in.tsv.gz	0.857	0.839	0.783	0.859	0.834
01	models/schöch-agg/mean_shifted/050tp-6000it-0500in.tsv.gz	0.867	0.826	0.818	0.870	0.845
01	models/schöch-agg/mean_shifted/050tp-6000it-1000in.tsv.gz	0.852	0.818	0.767	0.870	0.827
01	models/schöch-agg/mean_shifted/050tp-6000it-2000in.tsv.gz	0.854	0.818	0.795	0.854	0.831
01	models/schöch-agg/mean_shifted/050tp-6000it-3000in.tsv.gz	0.839	0.831	0.818	0.854	0.836
01	models/schöch-agg/mean_shifted/050tp-6000it-7000in.tsv.gz	0.841	0.831	0.754	0.864	0.823
01	models/schöch-agg/mean_shifted/060tp-6000it-0050in.tsv.gz	0.869	0.818	0.823	0.859	0.843
01	models/schöch-agg/mean_shifted/060tp-6000it-0100in.tsv.gz	0.857	0.813	0.844	0.844	0.840
01	models/schöch-agg/mean_shifted/060tp-6000it-0300in.tsv.gz	0.864	0.841	0.801	0.852	0.839
01	models/schöch-agg/mean_shifted/060tp-6000it-0500in.tsv.gz	0.857	0.834	0.790	0.859	0.835
01	models/schöch-agg/mean_shifted/060tp-6000it-1000in.tsv.gz	0.857	0.857	0.783	0.854	0.838
01	models/schöch-agg/mean_shifted/060tp-6000it-2000in.tsv.gz	0.854	0.821	0.806	0.844	0.831
01	models/schöch-agg/mean_shifted/060tp-6000it-3000in.tsv.gz	0.862	0.816	0.806	0.862	0.836
01	models/schöch-agg/mean_shifted/060tp-6000it-7000in.tsv.gz	0.831	0.836	0.795	0.847	0.827
01	models/schöch-agg/mean_shifted/070tp-6000it-0050in.tsv.gz	0.862	0.813	0.811	0.875	0.840
01	models/schöch-agg/mean_shifted/070tp-6000it-0100in.tsv.gz	0.857	0.818	0.780	0.859	0.829
01	models/schöch-agg/mean_shifted/070tp-6000it-0300in.tsv.gz	0.857	0.816	0.788	0.862	0.831
01	models/schöch-agg/mean_shifted/070tp-6000it-0500in.tsv.gz	0.862	0.834	0.826	0.862	0.846
01	models/schöch-agg/mean_shifted/070tp-6000it-1000in.tsv.gz	0.867	0.839	0.826	0.872	0.851
01	models/schöch-agg/mean_shifted/070tp-6000it-2000in.tsv.gz	0.847	0.824	0.816	0.849	0.834
01	models/schöch-agg/mean_shifted/070tp-6000it-3000in.tsv.gz	0.844	0.847	0.811	0.859	0.840
01	models/schöch-agg/mean_shifted/070tp-6000it-7000in.tsv.gz	0.836	0.828	0.783	0.867	0.829
01	models/schöch-agg/mean_shifted/080tp-6000it-0050in.tsv.gz	0.857	0.821	0.821	0.862	0.840
01	models/schöch-agg/mean_shifted/080tp-6000it-0100in.tsv.gz	0.847	0.839	0.793	0.870	0.837
01	models/schöch-agg/mean_shifted/080tp-6000it-0300in.tsv.gz	0.839	0.836	0.783	0.870	0.832
01	models/schöch-agg/mean_shifted/080tp-6000it-0500in.tsv.gz	0.864	0.836	0.780	0.849	0.832
01	models/schöch-agg/mean_shifted/080tp-6000it-1000in.tsv.gz	0.867	0.836	0.803	0.859	0.841
01	models/schöch-agg/mean_shifted/080tp-6000it-2000in.tsv.gz	0.842	0.834	0.816	0.862	0.838
01	models/schöch-agg/mean_shifted/080tp-6000it-3000in.tsv.gz	0.844	0.849	0.788	0.854	0.834
01	models/schöch-agg/mean_shifted/080tp-6000it-7000in.tsv.gz	0.839	0.834	0.816	0.872	0.840
01	models/schöch-agg/mean_shifted/090tp-6000it-0050in.tsv.gz	0.852	0.803	0.829	0.867	0.838
01	models/schöch-agg/mean_shifted/090tp-6000it-0100in.tsv.gz	0.844	0.829	0.767	0.877	0.829
01	models/schöch-agg/mean_shifted/090tp-6000it-0300in.tsv.gz	0.836	0.818	0.780	0.849	0.821
01	models/schöch-agg/mean_shifted/090tp-6000it-0500in.tsv.gz	0.852	0.826	0.793	0.849	0.830
01	models/schöch-agg/mean_shifted/090tp-6000it-1000in.tsv.gz	0.857	0.841	0.803	0.872	0.843
01	models/schöch-agg/mean_shifted/090tp-6000it-2000in.tsv.gz	0.852	0.849	0.801	0.869	0.843
01	models/schöch-agg/mean_shifted/090tp-6000it-3000in.tsv.gz	0.842	0.816	0.790	0.854	0.825
